shoulder_pan_angle,shoulder_lift_angle,elbow_angle,wrist1_angle,wrist2_angle,wrist3_angle,end_eff_x,end_eff_y,end_eff_z,end_eff_roll,end_eff_pitch,end_eff_yaw,end_eff_w,end_eff_xq,end_eff_yq,end_eff_zq
-1.5392370986262969,-1.7003842845648272,-1.4577167953133385,-1.5968169121022124,1.4708340209249395,1.6876262961971449,-8.211411132164422,233.17189164704072,1079.241910818702,-1.5701888789308713,0.053081207491794576,-0.0011687961788310773,0.7070832505799551,-0.7066319391602135,0.019183493773234177,0.018345922560968994
-1.6012155763766207,-1.73994796070418,-1.3580521529852585,-1.6140212820071362,1.5614801794728785,1.6077699723628773,-9.57491376860448,233.2216327730883,1079.2306427070607,-1.5702096587160181,0.049557534383992546,-0.0006707497820473329,0.7071028734917552,-0.706676412729174,0.01776158221076547,0.017277158021483014
-1.6091764718250485,-1.7465637949206043,-1.3452663990555864,-1.616220202770212,1.5744548967954484,1.598989272300543,-9.77677527344085,233.22892469768613,1079.2285446828487,-1.5702130559595966,0.04910401928642987,-0.0005835507699062042,0.707104828054633,-0.7066823876731343,0.01757040344352732,0.017147770037454036
-1.6119456975859636,-1.7506482804171843,-1.3512375000372052,-1.6125091847497648,1.5780850220208085,1.618277904162997,-9.792348719552937,233.22997877950314,1079.2278241118888,-1.5702125804793647,0.04940880264595122,-0.0005683198504870547,0.7071022416825566,-0.7066796699090372,0.017672781000608963,0.0172608446045327
-1.6148707932329684,-1.7590625828983029,-1.3531105923386306,-1.6070894915047895,1.5772606896326833,2.2465220835860267,-9.906938498590705,233.23408410075953,1079.2254340557681,-1.5702182962185423,0.06016506072319316,-0.0006277096965952499,0.7069977352309967,-0.7065758404934984,0.021496262344434535,0.02104031165089732
-1.6177401550232304,-1.755032348406998,-1.3520331706199489,-1.6174864916175258,1.5833812793472601,2.7686562887204484,-9.832593651480613,233.23251660740092,1079.226867749861,-1.5702092492144109,0.06951086738773549,-0.0005651050069838573,0.7068940726035063,-0.7064653116738894,0.0247776814329522,0.024363908191218683
-1.6139057490421107,-1.7526124166249764,-1.3482301935576173,-1.619386901451763,1.5845598873733961,2.89406813877499,-9.840878917786078,233.2315950641332,1079.2273996038605,-1.5702084707128634,0.07170873090045284,-0.00047627843391788194,0.7068660132377539,-0.7064385309535172,0.025523113959813867,0.025171650072940432
-1.4624708516694003,-1.7150304545639776,-1.3977101633376843,-1.6187003074165927,1.5847368555023114,2.911745185499079,-9.432984037961708,233.17861127727147,1079.2404451559894,-1.5701665331791868,0.07352420756422454,0.0021730770823671962,0.7068228583863924,-0.7064343040297818,0.025229507635378515,0.02674869897628567
-1.127190985741456,-1.7029864048981622,-1.41505104196362,-1.7032517522573647,1.5860123453329968,2.9128845838328403,-10.310850701903124,233.10978701604802,1079.2450027650805,-1.5701107513476191,0.0755318805675987,0.008051236418724456,0.7067315859655112,-0.7064621134873699,0.023863609501276195,0.0295343147406958
-0.8277347226615215,-1.7041917791821761,-1.4952020985604628,-1.7042780888355094,1.582151960316652,2.916096678505681,-10.851747380064008,233.04311381742713,1079.2472175809153,-1.5700737040665895,0.07698322945420105,0.013213241219321199,0.7066431379384556,-0.7064920984998602,0.022553792072028782,0.03187031259540319
-0.7702015542989652,-1.7933242855901534,-1.5450875132086195,-1.5815611966674523,1.581758992736279,2.9289348633819197,-12.296393565696196,233.04839359546784,1079.2251382692161,-1.5701522479284418,0.0743815786798827,0.014204741899000702,0.706640840386587,-0.7065591993070266,0.021282596498460364,0.031302901760621775
-0.7703393235488516,-1.9661673449016728,-1.6182274222809259,-1.2507878342005514,1.5802521401036531,2.9352169715551866,-15.006172692682563,233.08493803458998,1079.1734558573137,-1.5703608172821313,0.06698087080635139,0.014161371921979464,0.7066788119281981,-0.7067063349991013,0.018678586978941564,0.028676178831191893
-0.7742430907609639,-2.1544952170178684,-1.696709769104317,-0.8126462818959671,1.5785042629454056,2.936021475255193,-18.08868659637833,233.12791511082295,1079.1021247574658,-1.5706254364414436,0.05743438051009955,0.014046286954571805,0.706715612316452,-0.7068800114312938,0.015340963242030482,0.025265541630510823
-0.7717025511218571,-2.268506544349116,-1.708647460531128,-0.6524056376904342,1.5705750286215234,2.938524632774278,-20.08530723083507,233.1542459676927,1079.0524847167208,-1.5707519937987324,0.05290156520874527,0.013945263486318686,0.7067275256885238,-0.7069569823498928,0.013772785438529053,0.023629217553154693
-0.7623016619218276,-2.3232810313855126,-1.6976596259594035,-0.6387390615130305,1.449008778503868,3.0500563040541016,-20.906487456968055,233.1669329082746,1079.0278461400765,-1.5707905290828017,0.05346239795376955,0.011985609330667476,0.7067302579982228,-0.7069526813345861,0.014663275200333158,0.02313519275916642
